date,sector,region,volatility,market_risk,liquidity,index_value,change_pct
2025-04-23,Banking,North America,0.16964635575009884,0.24880874640272904,0.7533385918447999,1075.645685761776,-0.5455643408346083
2025-04-22,Banking,North America,0.17562241868343167,0.2838924619546292,0.7744158625200508,1119.6347762572561,-0.43409087363034615
2025-04-21,Banking,North America,0.15976487034464623,0.23466754955657426,0.7742326131517858,1460.3455042830765,2.2909456869389864
2025-04-20,Banking,North America,0.18108274479598316,0.23426014383498273,0.7549942098361211,897.4023763894324,-0.24777557816782458
2025-04-19,Banking,North America,0.19018084970610014,0.2387226932086292,0.7566753548734627,1403.8720352258715,-2.106911621734686
2025-04-18,Banking,North America,0.17774432062620635,0.22879318900323664,0.7271579846026487,872.8160726931618,-1.7823744419989973
2025-04-17,Banking,North America,0.17343389416876293,0.29233515424474354,0.7762336498665576,1363.5120404063166,-0.7355075657014654
2025-04-16,Banking,North America,0.175855819324721,0.2187675547591296,0.7594500301798925,850.7554693783453,2.295669491579279
2025-04-15,Banking,North America,0.18426863504250976,0.29621428386609744,0.7593981300374878,1288.2009427429343,2.580616820449035
2025-04-14,Banking,North America,0.19049323225413872,0.22237486095156767,0.7441740740419549,1144.906444299651,-2.346158976385007
2025-04-13,Banking,North America,0.1613757007343174,0.311306065952573,0.7330778982304277,1428.00632063706,-2.014592126855492
2025-04-12,Banking,North America,0.16052065408938862,0.2446130028888538,0.7352296425372481,1095.4386307280804,-1.0140216551954024
2025-04-11,Banking,North America,0.17794933721669728,0.2224061287780367,0.764662938098782,988.0594593345497,2.468489477534172
2025-04-10,Banking,North America,0.19129608148648172,0.21446344265704825,0.7680052237666464,1272.9243215690385,-2.773918246025951
2025-04-09,Banking,North America,0.16758423561275235,0.2693026118231391,0.7524289467748783,1276.5693854556757,0.794590950013041
2025-04-08,Banking,North America,0.1927744218815301,0.28658962189601994,0.7614756196115965,876.2199167033086,-0.03818836440168383
2025-04-07,Banking,North America,0.18989636374273441,0.21470317339021705,0.7277585122521447,878.8759146596665,2.1197859552709115
2025-04-06,Banking,North America,0.1571644882519364,0.26282055213794897,0.7469696811472226,1335.308994539107,-0.9151264986655052
